Département,Date,Route,Direction,Flash,Latitude,Longitude,Vitesse
1,2004/12/09,RD936,DOUBLE SENS,,46.21175,5.29042,80
1,2004/12/20,RD1084,DOUBLE SENS,,45.88424,5.16879,80
1,2005/07/25,RD1083,DOUBLE SENS,,46.05976,5.0802,80
1,2005/07/25,RD1075,DOUBLE SENS,,46.09901,5.31006,80
1,2005/09/13,RD936,DOUBLE SENS,,46.04892,4.87074,80
1,2006/01/27,RD1083,DOUBLE SENS,,45.88464,4.91503,80
1,2006/03/20,RD1083,BOURG EN BRESSE vers LONS LE SAUNIER,,46.31282,5.3046,80
1,2006/06/26,A40,LE FAYET VERS MACON,,46.1463,5.6332,110
1,2007/10/10,RD936,Trevoux vers Bourg en Bresse,,46.18532,5.10748,80
1,2007/11/07,RD992,DOUBLE SENS,,45.80659,5.77397,80
1,2008/04/03,RD1005,DOUBLE SENS,,46.30657,6.06612,70
1,2008/04/18,A42,LYON vers BOURG EN BRESSE,,45.86378,5.14823,130
1,2008/06/16,RD1084,DOUBLE SENS,,46.07797,5.42775,50
1,2008/08/28,RD22,BOURG EN BRESSE vers CHALAMONT,,46.0076,5.17567,80
1,2008/08/28,RD884,Bellegarde vers Gex,,46.17674,5.921,110
1,2008/09/26,RD4,Meximieux vers St André de Corcy,,45.92786,5.10135,80
1,2009/03/05,RD5,DOUBLE SENS,,45.95494,5.33182,50
1,2009/03/20,RD1084,DOUBLE SENS,,46.16113,5.59955,70
1,2009/09/09,RD933,Pont de Vaux vers Feillens,,46.41212,4.92693,80
1,2010/06/09,RD37,DOUBLE SENS,,45.852,5.7531,50
1,2011/03/22,RD2,DOUBLE SENS,,46.136,4.9601,80
1,2011/04/11,RD1079,DOUBLE SENS,,46.264,5.0168,80
1,2011/05/19,RD975,DOUBLE SENS,,46.363,5.121,80
1,2011/07/29,RD1083,LYON vers BOURG EN BRESSE,,45.96461,5.00528,80
1,2012/08/08,RD19,DOUBLE SENS,,45.78,5.4696,70
2,2004/10/21,RN2,SOISSONS vers PARIS,,49.24496,3.03571,70
2,2005/03/29,RD1029,DOUBLE SENS,,49.83832,3.28416,70
2,2005/03/29,RN31,DOUBLE SENS,,49.39702,3.17413,80
2,2005/05/06,RN2,LAON VERS MARLE,,49.68502,3.70767,50
2,2005/05/09,RD1043,DOUBLE SENS,,49.89131,4.11865,80
2,2005/06/01,RD1044,CAMBRAI VERS ST QUENTIN,,49.94754,3.23867,80
2,2005/06/01,RD1,SOISSONS VERS CHAUNY,,49.46706,3.34813,80
2,2005/09/07,RN2,SOISSONS VERS MARLE,,49.54973,3.62053,80
2,2006/11/01,RD8,DOUBLE SENS,,49.9093,3.34225,80
2,2007/03/07,RN2,DOUBLE SENS,,49.98723,3.91794,80
2,2007/05/04,RD1,DOUBLE SENS,,48.98471,3.43531,80
2,2007/05/04,RD1,DOUBLE SENS,,49.2148,3.3708,80
2,2007/07/05,RN2,LA CAPELLE VERS LAON,,49.81874,3.87774,80
2,2007/08/15,RN31,FISMES VERS BRAINE,,49.31047,3.63425,80
2,2007/10/05,RD1029,ST QUENTIN vers GUISE,,49.83924,3.47466,70
2,2007/11/26,RD1,Chauny vers St Quentin,,49.6981,3.2702,80
2,2007/12/05,RD1044,Reims vers Laon,,49.51764,3.75298,80
2,2008/03/05,RD1044,St Quentin vers Laon,,49.60709,3.50458,80
2,2009/07/01,"Avenue du Général De Gaulle, face au n°53",DOUBLE SENS,,49.846,3.3012,50
2,2009/09/09,RN2,SOISSONS vers PARIS,,49.2345,2.9916,70
2,2013/06/28,RD 1003 (ex RN 3),MONTREUIL AUX LIONS vers CHATEAU THIERRY,,49.036,3.2523,70
2,2013/09/13,RN2 (Rue le Monvinage),LAON vers LA CAPELLE,,49.892,3.9117,50
2,2013/12/20,RD1044,LAON vers REIMS,,49.525,3.754,80
2,2014/09/02,RD1044,LAON vers ST QUENTIN,,49.618,3.4578,70
2,2014/11/17,RD1044,ST QUENTIN vers CAMBRAI,,49.93826,3.24409,80
3,2004/09/02,RN7,DOUBLE SENS,,46.26858,3.48903,80
3,2004/09/02,RN7,VARENNES VERS MOULINS,,46.45832,3.36763,80
3,2004/09/15,RD2009,GANNAT VERS ST POURCAIN SUR SIOULE,,46.23546,3.28459,80
3,2004/09/15,RD2209,VICHY VERS VARENNES,,46.17012,3.45748,70
3,2005/11/10,RN79,DOMPIERRE SUR BESBRE VERS MONTMARAULT,,46.48816,3.34482,80
3,2005/11/10,RD2144,DOUBLE SENS,,46.31823,2.62209,70
3,2006/01/09,RD2009,CHATEL DE NEUVRE VERS ST POURCAIN SUR SIOULE,,46.34618,3.28518,80
3,2006/01/09,RN79,MONTMARAULT VERS DOMPIERRE SUR BESBRE,,46.48796,3.34468,80
3,2006/02/13,RN7,MOULINS VERS VARENNES,,46.45838,3.36763,80
3,2007/11/07,RD2144,MONTLUCON vers NERIS LES BAINS,,46.30013,2.64596,70
3,2007/11/07,RD2209,Gannat vers Vichy,,46.12851,3.37707,70
3,2008/02/22,RD779,DOUBLE SENS,,46.59105,3.47675,80
3,2008/02/22,RD2371,DOUBLE SENS,,46.32208,2.86727,80
3,2008/03/19,RN79,DOUBLE SENS,,46.54063,3.66826,80
3,2008/11/19,RD906,ST YORRE VERS ABREST,,46.08308,3.46105,80
3,2008/11/25,RD990,DOUBLE SENS,,46.24857,3.69649,80
3,2009/02/12,RD907,LAPALISSE VERS CREUZIER LE NEUF,,46.18971,3.48825,80
3,2009/02/19,RN7,DOUBLE SENS,,46.42979,3.35836,80
3,2010/05/19,RD2144,DOUBLE SENS,,46.588,2.6169,80
3,2010/06/22,RD27,CUSSET vers CHARMEIL,,46.155,3.4133,50
3,2010/11/17,RN79,MOULINS vers MONTMARAULT,,46.376,3.0291,80
3,2010/11/17,RN79,DOMPIERRE sur BESBRE vers MOULINS,,46.535,3.5666,80
3,2011/02/17,RD994,DOUBLE SENS,,46.304,3.7726,70
3,2011/03/01,RD46,DOUBLE SENS,,46.316,3.3249,80
3,2012/08/01,RD2009,ST POURCAIN SUR SIOULE vers MOULINS,,46.381,3.2954,80
4,2004/11/27,RD4096,DOUBLE SENS,,43.88555,5.86389,80
4,2005/03/14,RN85,DOUBLE SENS,,44.11609,5.99328,80
4,2005/10/20,RN85,DOUBLE SENS,,44.07632,6.01988,80
4,2005/11/02,RD4096,DOUBLE SENS,,43.85757,5.83217,80
4,2006/01/23,RN85,DIGNE LES BAINS VERS MALIJAI,,44.04822,6.13947,80
4,2006/03/01,A51,AIX vers LA SAULCE,,44.19723,5.94926,110
4,2007/03/19,RN85,MALIJAI VERS DIGNE LES BAINS,,44.036,6.10951,80
4,2007/11/23,RN202,DOUBLE SENS,,43.96279,6.73998,80
4,2008/02/22,RN85,DOUBLE SENS,,44.00963,6.26485,70
4,2008/02/24,RN85,DOUBLE SENS,,44.05884,6.2068,80
